id,artists,title,mix,label,genres,main_key,confidence,time1,change1,time2,change2,comments
5061,Philippe Van Mullem,Canopy,Progress Mix,Bonzai Classics,Trance,D# minor,2,,,,,
5881,"Brainbashers, Lance Madden",Realness,Brain Bashers Mix,Shock Records,Hard Dance,A major,2,,,,,
7217,"Made By Monkeys, Salvatore, Focus",I Try,Salatore & Focus Remix,Star 69 Records,Progressive House,F minor,2,,,,,
10359,"Oliver Klein, Ian Wilkie",RheinKraft,Ian Wilkie Remix,Maelstrom Records,Trance,D minor,2,,,,,
10981,Panic,Tasty Treat Beat,Original Mix,Casa Del Soul,Tech House,X,0,,,,,
11077,Billy Paul Williams,Winter Heat,Original Mix,Kriztal Entertainment,Electronica / Downtempo,G minor,2,,,,,
11194,Alek Biotic,Funk Matter,Original Mix,Gotham Grooves,Techno,D minor,2,,,,,
14344,Oliver Prime,Velvet Sunshine,Original Mix,Synergetic Records,Trance,D minor,2,,,,,
14720,"Willie Morales, Robbie Rivera",Bang To The Beat,Robbie Rivera Mix,Juicy Music,House,D minor,2,,,,,
16484,Kinder Atom,Slow Back,Original Mix,Nice & Smooth,Techno,A minor,1,,,,,
17025,Foxy Push,Feel Fine,Original Mix,Moonbootique Records,Electronica / Downtempo,D# minor,2,,,,,
18975,"The Askew, D-Formation",Invisible,D-Formation Remix,Distraekt Records,Progressive House,C minor,2,,,,,
19613,"Dum Dum, First Life",One Earth Beat,First Life's Rhythm Of Life Remix,Whoop!,Progressive House,D minor,2,,,,,
19805,Fred Baker,My Revenge,Original Mix,Magik Muzik,Trance,A minor,2,,,,,
19936,"DJ Ton T.B., DJ Cor Fijneman",Electronic Malfunction,DJ Cor Fijneman's Outstanding Remix,Black Hole Recordings,Trance,A minor,2,,,,,
23309,"Kompressor, The Green Martian",Black Onyx,The Green Martian Remix,Bonzai Back Catalog,Trance,B minor,2,,,,,
25185,Trisco,Southpaw,Original Mix,Hope Recordings,Progressive House,F minor,2,,,,,
25702,"Midnight Blue, Blind Faith",Blessed,Blind Faith Reprise Version 1,Source of Gravity Digital,Electronica / Downtempo,C# minor,2,,,,,
25703,"Midnight Blue, Jay Welsh, Black Ice",Blessed,Black Ice Remix,Source of Gravity Digital,Progressive House,C# minor,2,,,,,
26737,Marco Repetto,Fibrill 2,Thomas Schumacher Remix,Superstition Records,Techno,C minor,2,,,,,
29912,Slam,Bright Lights Fading,Slam Mix,Soma Records,Techno,D# minor,2,,,,,
30278,"Neurotron, Alectric",Indigo,Alectric Mix,Night Drive Music,House,D major,2,,,,,
32715,Psykofuk,Psykofuk,Original Mix,Star 69 Records,Trance,B minor,2,,,,,
33583,"Dub Kult, Guido Schneider",On and On,Remix,Raum...Musik.,Minimal,E minor,2,,,,,
33846,Pole Folder,London,Original Mix,Bedrock Records,Progressive House,C minor,2,,,,,
33961,Paul Kalkbrenner,Steinbeisser,Original Mix,Bpitch Control,Techno,G minor,2,,,,,
35645,"Above & Beyond, Shane 54",Far From In Love,Shane 54 Remix,Anjunabeats,Trance,F minor,2,,,,,
37745,Murat,Third Floor Pt. 1,Original Mix,Elephanthaus,Techno,E minor,1,,,,,
37779,Solid Slide,Epic Storm,Original Mix,Bonzai Back Catalog,Trance,A# major,2,,,,,
40030,Rene a.k.a. Maker,Always Look Ahead,Original Mix,Total Wipes,Tech House,E minor,2,,,,,
40643,Green Velvet,La La Land,Instrumental Mix,Relief Records,Tech House,A minor,2,,,,,
40875,"Pure Science, Sci-Phi",Human Spirit,Original Mix,Lunar Tunes,Tech House,G# minor,2,,,,,
41267,Jon Delerious,Desavibes,Original Mix,Nordic Trax,Electronica / Downtempo,C# minor,1,,,,,
41907,"2 Souls, Astrid",In The Beginning,DJ Astrid Remix,Black Hole Recordings,Trance,C minor,2,,,,,
42234,Rafael Gomez,All Systems Are Go,Original Mix,Treibstoff,Minimal,X,0,,,,,
45212,Matthew Dear,Juice,Original Mix,Spectral Sound,Minimal,B minor,1,,,,,
49242,0,Tanning Booths,Original Mix,Minus,Minimal,F minor,1,,,,,
49721,King Kong Crew,Make Me Acid,Original Mix,King Kong Records,Tech House,C major,2,,,,,
50823,Tigerskin,Style,Original Mix,Resopal Schallware,Minimal,B minor,2,,,,,
51220,Soulpatrol,Soul Searching Intro Jingle,Part One,Compost,Electronica / Downtempo,D# minor,1,,,,,
51936,Break 3000,Flash 1,Original Mix,MBF ltd,Techno,C minor,2,,,,,
54925,Caro,OVNIto,Original Mix,Orac Records,Minimal,C minor,0,,,,,
55659,"Smuk, Thodob",Kalkspat,Reacts With Acid Mix,Total Wipes,Techno,C minor,1,,,,,
58167,"Miika Kuisma, Kenjido Okiru",Basscore,Original Mix,Subtraxx Recordings,Progressive House,D# minor,2,,,,,
58226,Bring Back the Buffalo,Experiences,Original Mix,Persona,Electronica / Downtempo,C# major,2,,,,,
58581,"Meat Katie, Christian J, Dylan Rhymes",Turn Me Out,Dylan Rhymes Remix,LOT49,Breaks,C# major,2,,,,,
60661,Jan Jelinek,davos s (trio 'round midnight),Original Mix,Scape,Electronica / Downtempo,C# major,2,,,,,
61578,Electric Rescue,Rave On,Original Mix,Scandium Records,Techno,C other,2,,,,,"Only alternance between c and f#, tritone."
61846,"Jean Claude Ades, Vincent Thomas",Fly Away,Vincent Thomas Remix,Swings Records,Progressive House,D# minor,2,,,,,
62141,"Chris Liebing, Andre Walter, Jamie Bissmire",A1 (The wicked switch E.P.),Jamie Bissmire Mix,CLR,Techno,X,0,,,,,
63014,"Julian Poker, David Lara, Inkfish",Ketamine,Inkfish 8Bit Ninja Remix,Suburban Tracks,Progressive House,G# major,2,,,,,
63618,Pilot Jazou,Wonderful Morning,Original Mix,Total Wipes,Electronica / Downtempo,G# major,2,,,,,
65102,Modeselektor,Fake Emotion feat. Paul St.Hillaire,Original Mix,Bpitch Control,Electronica / Downtempo,A minor | C major,1,,,,,"Difficult to decide between relatives, A minor and C major. Bimodal."
65778,"Dakar, Grinser",25 Reptile,Original Mix,disko B,Tech House,F minor,2,,,,,
